No.,Product,Link,Price
128,Tropical Heroes F/Chutney Crisps 40G,https://naivas.onlinehttps://naivas.online/tropical-heroes-fruit-chutney-crisps-40-g,KES 60
129,Tropical Heroes C/Onions Crisps 40G,https://naivas.onlinehttps://naivas.online/tropical-heroes-cheese-onions-crisps-40-g,KES 60
130,Tropical Heroes Tomato Crisps 40G,https://naivas.onlinehttps://naivas.online/tropical-heroes-tomato-crisps-40-g,KES 60
131,Tropical Heroes Salted Crisps 40G,https://naivas.onlinehttps://naivas.online/tropical-heroes-salted-crisps-40-g,KES 60
132,Nutella &go Hazelnut Spread With Breadsticks 54g,https://naivas.onlinehttps://naivas.online/nutella-go-hazelnut-spread-with-breadsticks-54g,KES 300
133,"Green Forest Peanuts Unpeeled, Roasted & Salted 200g","https://naivas.onlinehttps://naivas.online/green-forest-peanuts-unpeeled,-roasted-salted-200g",KES 155
134,Magic Wand Caramella Toffees,https://naivas.onlinehttps://naivas.online/magic-wand-caramella-toffees,KES 6
135,Magic Wand Fruit Yght Toffees,https://naivas.onlinehttps://naivas.online/magic-wand-fruit-yght-toffees,KES 6
136,Mentos Fresh Mint S-Free Gum 14G,https://naivas.onlinehttps://naivas.online/mentos-fresh-mint-s-free-gum-14g,KES 85
137,Mentos Grape Rolls 37-5G,https://naivas.onlinehttps://naivas.online/mentos-grape-rolls-37-5g,KES 95
138,Mentos Winter Green S-Free Gum 14G,https://naivas.onlinehttps://naivas.online/mentos-winter-green-s-free-gum-14g,KES 85
139,Nestle Kitkat Chunky 40G,https://naivas.onlinehttps://naivas.online/nestle-kitkat-chunky-40g,KES 195
140,Nuvita Corn Puff Tomato 25G,https://naivas.onlinehttps://naivas.online/nuvita-corn-puff-tomato-25g,KES 30
141,Oreo Chocolate Creme 26.25G,https://naivas.onlinehttps://naivas.online/oreo-chocolate-creme-4-s-36-8g,KES 45
142,Oreo Original Chocolate 26.25G,https://naivas.onlinehttps://naivas.online/oreo-original-choc-4-s-36-8g,KES 45
143,Pringles Cheesy Cheese 165G,https://naivas.onlinehttps://naivas.online/pringles-cheesy-cheese-165g,KES 460
144,Pringles Sizzlin C-Chilli 160G,https://naivas.onlinehttps://naivas.online/pringles-sizzlin-c-chilli-160g,KES 460
145,Tropical Heat Potato Crisps Tomato 100g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-tomato-100g,KES 115
146,Tropical Heat Potato Crisps Salted 100g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-salted-100g,KES 115
147,Tropical Heat Potato Crisps Salt & Vinegar 100g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-salt-vinegar-100g,KES 115
148,Tropical Heat Potato Crisps Chilli & Lemon 100g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-chilli-lemon-100g,KES 115
149,Tropical Heat Potato Crisps Cheese & Onion 100g,https://naivas.onlinehttps://naivas.online/tropical-heat-potato-crisps-cheese-onion-100g,KES 115
150,Dairyland Real White Chocolate 40G,https://naivas.onlinehttps://naivas.online/dairyland-real-white-chocolate-40g,KES 120
151,Docile Sour S-Berry Belts 70G,https://naivas.onlinehttps://naivas.online/docile-sour-s-berry-belts-70g,KES 182
152,Eureka Peeled Peanuts 250G,https://naivas.onlinehttps://naivas.online/eureka-peeled-peanuts-250g,KES 295
153,Floydeez Chocolate Popcorn 30G,https://naivas.onlinehttps://naivas.online/floydeez-chocolate-popcorn-30g,KES 70
154,Floydeez Cola Popcorn 30G,https://naivas.onlinehttps://naivas.online/floydeez-cinnamon-popcorn-30g,KES 70
155,Floydeez Limited Edition Popcorn 60G,https://naivas.onlinehttps://naivas.online/floydeez-limited-edition-popcorn-60g,KES 135
