name,url,price,category,store,date
Frozen Tilapia Fish Fillet,https://www.carrefour.ke/mafken/en/fish/frozen-tilapia-fillet-pkg/p/181189,899,fish,Carrefour,2025-08-06
Fresh Tilapia Steak,https://www.carrefour.ke/mafken/en/fish/fresh-tilapia-steak-wild-pkg/p/185553,799,fish,Carrefour,2025-08-06
Frozen Nile Perch Fillet,https://www.carrefour.ke/mafken/en/fish/frozen-nile-perch-fillet-pkg/p/181188,749,fish,Carrefour,2025-08-06
Fresh Salmon Head,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-head-pkg/p/1777,274,fish,Carrefour,2025-08-06
Fresh Whole Nile Perch,https://www.carrefour.ke/mafken/en/fish/fresh-nile-perch-wh-pkg/p/181181,1598,fish,Carrefour,2025-08-06
Fresh Rock Fillet,https://www.carrefour.ke/mafken/en/fish/fresh-rock-cod-fillet-pkg/p/181163,1199,fish,Carrefour,2025-08-06
Fresh Sea Bass Whole,https://www.carrefour.ke/mafken/en/fish/frozen-tilapia-filets-kenya-pkg/p/181155,3398,fish,Carrefour,2025-08-06
Fresh Red Snapper Whole,https://www.carrefour.ke/mafken/en/fish/fresh-red-snapper-wh-pkg/p/181150,1998,fish,Carrefour,2025-08-06
Fresh Salmon Whole,https://www.carrefour.ke/mafken/en/fish/fresh-salmon-wh-pkg/p/181153,8398,fish,Carrefour,2025-08-06
Frozen Shrimp Peeled,https://www.carrefour.ke/mafken/en/frozen-lobster-shrimp-cigal/frozen-shrimps-queen-peeled-pkg/p/181211,1399,frozen-lobster-shrimp-cigal,Carrefour,2025-08-06
Fresh Tiger Shrimps 1620,https://www.carrefour.ke/mafken/en/fresh-shrimp/fresh-shrimps-tiger-16-20-pkg/p/181203,1645,fresh-shrimp,Carrefour,2025-08-06
Frozen Lobster,https://www.carrefour.ke/mafken/en/frozen-lobster-shrimp-cigal/frozen-lobster-pkg/p/181207,1649,frozen-lobster-shrimp-cigal,Carrefour,2025-08-06
Chicken Spring Roll,https://www.carrefour.ke/mafken/en/ready-meals/spring-roll-chicken-pc/p/131348,89,ready-meals,Carrefour,2025-08-06
Omena Ugalispinach Rmp,https://www.carrefour.ke/mafken/en/ready-meals/omena-ugali-spinach-rmp/p/113069,180,ready-meals,Carrefour,2025-08-06
Vegetable Samosa,https://www.carrefour.ke/mafken/en/ready-meals/samosa-vegetable-pc/p/131347,99,ready-meals,Carrefour,2025-08-06
Mini Beef Samosa,https://www.carrefour.ke/mafken/en/ready-meals/mini-beef-samosa-pc/p/178504,69,ready-meals,Carrefour,2025-08-06
Roasted Chicken Leg Lemon Herbs,https://www.carrefour.ke/mafken/en/ready-meals/roasted-chicken-leg-lemon-herbs-pc/p/7656,190,ready-meals,Carrefour,2025-08-06
Mini Chicken Samosa,https://www.carrefour.ke/mafken/en/ready-meals/mini-chicken-samosa-pc/p/178505,69,ready-meals,Carrefour,2025-08-06
Mandazi,https://www.carrefour.ke/mafken/en/ready-meals/mandazi-by-pc/p/48742,20,ready-meals,Carrefour,2025-08-06
Beef Samosa,https://www.carrefour.ke/mafken/en/ready-meals/samosa-beef-pc/p/131344,79,ready-meals,Carrefour,2025-08-06
Roast Chicken Breast Bone in Lemon,https://www.carrefour.ke/mafken/en/ready-meals/roast-chicken-breast-bon-in-lemon/p/7653,190,ready-meals,Carrefour,2025-08-06
"Toast Mayai, Smokie, Boiled Egg  Salad",https://www.carrefour.ke/mafken/en/ready-meals/snack-egg-n-sausage-toast-pc/p/65751,119,ready-meals,Carrefour,2025-08-06
Chapati Mayai With Sausage,https://www.carrefour.ke/mafken/en/ready-meals/snack-egg-n-sausage-chapati-pc/p/65752,135,ready-meals,Carrefour,2025-08-06
Gizzard In Gravy  Ugali Rmp,https://www.carrefour.ke/mafken/en/ready-meals/gizzard-in-gravy-ugali-rmp/p/113066,205,ready-meals,Carrefour,2025-08-06
Cripsy Chicken Leg Spicy,https://www.carrefour.ke/mafken/en/ready-meals/cripsy-chicken-leg-spicy-pc/p/120258,285,ready-meals,Carrefour,2025-08-06
Crispy Chicken Breast Spicy,https://www.carrefour.ke/mafken/en/ready-meals/cripsy-chicken-breast-spicy-pc/p/120259,285,ready-meals,Carrefour,2025-08-06
Cripsy Chicken Breast,https://www.carrefour.ke/mafken/en/ready-meals/cripsy-chicken-breast-pc/p/120256,200,ready-meals,Carrefour,2025-08-06
Mini Mutton Samosa,https://www.carrefour.ke/mafken/en/ready-meals/mini-mutton-samosa-pc-60gm/p/178509,69,ready-meals,Carrefour,2025-08-06
Carrefour Beef Stew White Rice,https://www.carrefour.ke/mafken/en/ready-meals/crf-beef-stew-white-rice-pc/p/218048,250,ready-meals,Carrefour,2025-08-06
Pasta With Beef Bolognese,https://www.carrefour.ke/mafken/en/ready-meals/pasta-beef-bolognese-rmp/p/106250,239,ready-meals,Carrefour,2025-08-06
Carrefour Chapati Beans,https://www.carrefour.ke/mafken/en/ready-meals/crf-chapati-beans-pc/p/218053,190,ready-meals,Carrefour,2025-08-06
Carrefour 8 Leaves Pastry Brick 136g,https://www.carrefour.ke/mafken/en/samboussa/crf-8-leaves-pastry-brick-136g/p/33524,599,samboussa,Carrefour,2025-08-06
Combo Beef Sausage With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-beef-sausage-fries/p/136098,175,sandwich-bap,Carrefour,2025-08-06
Carrefour Breaded Chicken Burger.,https://www.carrefour.ke/mafken/en/sandwich-bap/crf-breadded-chicken-burger-pc/p/221914,165,sandwich-bap,Carrefour,2025-08-06
Combo Chicken Breast With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-chicken-breast-fries/p/134499,275,sandwich-bap,Carrefour,2025-08-06
Combo Beef Burger With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-beef-burger-fries/p/134496,235,sandwich-bap,Carrefour,2025-08-06
Combo Beef Scotched Kabab With Fries,https://www.carrefour.ke/mafken/en/sandwich-bap/combo-beef-kebab-scotched-fries/p/136096,210,sandwich-bap,Carrefour,2025-08-06
Carrefour Breaded Chicken  Fries.,https://www.carrefour.ke/mafken/en/sandwich-bap/crf-breadded-chicken-fries-pc/p/221915,199,sandwich-bap,Carrefour,2025-08-06
Farmer's Choice Sandwich Ham 200g,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-sandwich-ham-200g/p/40508,299,other-meat-slices,Carrefour,2025-08-06
Farmers Choice Beef Sausage 1Kg,https://www.carrefour.ke/mafken/en/beef/farmers-c-valu-pack-beef-sausage1kg/p/40473,685,beef,Carrefour,2025-08-06
Farmers Choice Streaky Bacon 200 Gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-streaky-bacon-200g/p/40480,452,other-meat-slices,Carrefour,2025-08-06
Farmers Choice Pork Sausages 1Kg,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-value-pork-sausages-1kg/p/40466,710,other-meat-slices,Carrefour,2025-08-06
Farmers Choice Streaky Bacon 400 gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-streaky-bacon-400g/p/40481,716,other-meat-slices,Carrefour,2025-08-06
Farmers Choice Safari Beef Sausages 500G,https://www.carrefour.ke/mafken/en/beef/farmers-c-safari-beef-sausages-500g/p/40427,369,beef,Carrefour,2025-08-06
Farmers Choice Classic Pork Sausage500G,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-ch-classic-pork-sausage500g/p/40428,367,other-meat-slices,Carrefour,2025-08-06
Farmer's Choice Beef Smokies Labless 1Kg,https://www.carrefour.ke/mafken/en/beef/farmers-cho-beef-smokies-labless1kg/p/40499,530,beef,Carrefour,2025-08-06
Choice Meats Beef Sausage 1Kg,https://www.carrefour.ke/mafken/en/beef/choice-meats-v-pack-beef-sausage1kg/p/40419,577,beef,Carrefour,2025-08-06
Farmers Choice Spicy Pork Sausages Value Pack 1 kg,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-c-spicy-pork-sausages-vp1kg/p/40438,719,other-meat-slices,Carrefour,2025-08-06
Farmers Choice Collar Bacon 100 gr,https://www.carrefour.ke/mafken/en/other-meat-slices/farmers-choice-collar-bacon-100g/p/40448,190,other-meat-slices,Carrefour,2025-08-06
